UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
853,1/12/18 11:10,1/12/18 11:27,IP Address,100,957,TRUE,ALL,1/3/18 14:40,R_27foQRaWKUQIGX2,anonymous,EN,Male,Gay/Lesbian,N,Monosexual-gay/lesbian,White,,White,No,N/A,"Atheist,Buddhist",N,N,N,"Yes, in addition to other descriptors","Cognitive science,Computational linguistics,Psychology of Language","Cognitive ,Formal,Functional,Usage-based",5,F,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,Cognitive Science,NA,NA,NA,,Cognitive Science,Psych/CogSci,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",>30 years ago,Yes,Full professor,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Never,Sometimes,Sometimes,Sometimes,Rarely,"		(Dis)ability status,		Ethnic groups,		Gender,Race",NA,Yes,No,No,"		No","		No","		Joining a (sub-)discipline	",Yes,Fair,Fair,Fair,stayed the same,NA,stayed the same,NA,gotten worse,NR,Yes,Yes,"	No; it was not available",Married,"North America, including the Caribbean ","North America, including the Caribbean "
854,1/12/18 11:20,1/12/18 11:21,IP Address,14,66,FALSE,Demo,2/11/18 22:42,R_1Cpeu6wPsEkpUKG,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,African,No,N/A,Christian,Y,N,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
855,1/12/18 11:30,1/12/18 11:53,IP Address,100,633,TRUE,ALL,1/4/18 23:52,R_1FCHuFX28GaKbz8,anonymous,EN,Other,Asexual,N,Asexual-Umbrella,White,,White,Yes,"Autistic / autism spectrum,Mental health / emotional disabilities,Other physical disabilities",Atheist,N,N,N,"Yes, in addition to other descriptors","Computational linguistics,Signed language linguistics",NR,NR,NR,"Computational methods, Corpus methods",2,N,C,N,"Linguistics,Language/Area-specific department (click to receive more options in next question),Other (please specify)",NA,Engineering,East Asian languages/studies,East Asian,Q,STEM,N,,"North America, including the Caribbean",North America,No,No,B.A. / B.S.,Within the past 5 years,No,You don't. My position is (please specify),NR,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,"		Gender,Gender identity/presentation,Sexual orientation		",NA,Yes,Yes,Yes,Not sure,"Yes, I have been intentionally excluded ",Other (please specify),Yes,Other (please specify),NR,NR,NR,NR,NR,NR,NR,NR,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
856,1/12/18 11:35,1/12/18 12:28,IP Address,4,40,FALSE,NONE,1/20/18 5:09,R_2Ve7OcrjTR9bj9q,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
857,1/12/18 11:47,1/12/18 11:50,IP Address,100,2273,TRUE,ALL,1/4/18 0:26,R_1f8yOys0JyjeqKg,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Documentary and descriptive linguistics,	Morphology,	Morphosyntax,	Pragmatics,Syntax,Typology",Functional,1,F,Field methods,1,N,O,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Australia,Other,No,Yes,B.A. / B.S.,"	5 - 10 years ago",No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Often,Sometimes,Sometimes,Sometimes,Never,"		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,NA,,,"		No",Not sure,"		Fieldwork/a specific field site,	Other academic activities at a conference/workshop ",No,Bad,Fair,Other (please specify),I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,"	No",Domestic partner/Long-term relationship,Australia,Australia
858,1/12/18 11:47,1/12/18 12:12,IP Address,1,6,FALSE,NONE,1/18/18 14:46,R_3oKDwZwuFUjHvgh,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
859,1/12/18 11:52,1/12/18 11:58,IP Address,100,15386,TRUE,ALL,1/3/18 18:41,R_12ElNv1WYWfhj6W,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,Developmentalist,"Cognitive science,	First language acquisition,Phonology","Formal,Generative",2,G,"Computational methods, Corpus methods,Experimental methods, Qualitative methods",4,Y,B,N,"Linguistics, Psychology, Speech and hearing sciences",NA,NA,NA,,Psychology,Psych/CogSci,N,,"North America, including the Caribbean",North America,Yes,No,"	Ph.D","	10 - 20 years ago",No,You don't. My position is (please specify),I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,"		Gender,		Nationality	,Particular subfields/other academics	",NA,Yes,Not sure,No,Not sure,"		No","Academic events in your department (colloquium talks, etc),		Committee membership",No,Good,Very good,Fair,gotten better,10-20 years,gotten better,10-20 years,I don't know/can't say,NR,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
860,1/12/18 11:59,1/12/18 12:11,IP Address,61,111522,FALSE,Bias,1/18/18 21:51,R_28GrVfNDprckuGU,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Discourse analysis,Sociocultural linguistics,Sociolinguistics ","Functional,Usage-based",2,F,Qualitative methods,1,Y,O,N,Other (please specify),NA,English,NA,,Language/Area-specific,Language,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,Yes,Assistant professor (tenure-track),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,"Gender identity/presentation,		Nonnative English speakers,Particular subfields/other academics	",NA,Yes,Not sure,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
861,1/12/18 12:11,1/12/18 12:43,IP Address,1,67,FALSE,NONE,1/17/18 18:44,R_2CB1P5OEg8jUyAw,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
862,1/12/18 12:47,1/12/18 12:59,IP Address,23,113,FALSE,LingDemo,1/17/18 20:07,R_24Br8Ko07Cbo04G,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Historical linguistics,	Language evolution,Typology",You don't,No response,No response,Computational methods,1,N,O,N,Other (please specify),NR,NA,NA,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
863,1/12/18 13:01,1/12/18 13:09,IP Address,100,1333,TRUE,ALL,1/3/18 18:11,R_21ilUZdGDuyz5l1,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,	Morphosyntax,Psychology of Language,Second language acquisition,Semantics,Syntax",Generative,1,G,Experimental methods,1,N,E,N,"Cognitive Science, Psychology",NA,NA,NA,,Cognitive Science,Psych/CogSci,N,,Europe,Europe,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,"		Gender,		Nationality	,		Nonnative English speakers",NA,NA,,,Not sure,"		No","		Starting a collaboration		,Social events in your department",Yes,Bad,Bad,Bad,gotten better,< 5 years,gotten better,< 5 years,gotten better,< 5 years,No,No,"	No","	Single","	Europe","	Europe"
864,1/12/18 13:03,1/12/18 13:04,IP Address,100,863,TRUE,ALL,1/17/18 19:44,R_3lLGC760RC7fr6g,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Educational linguistics,Phonology,Sociolinguistics ",Generative,1,G,"Corpus methods, Field methods",2,N,C,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,"	Lecturer (non-permanent)",I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Rarely,Rarely,Often,Rarely,Never,"Age	,		Gender,		Nonnative English speakers",NA,Yes,No,No,"		Yes (other)","		Yes, I have been excluded (perhaps intentionally)",NR,Yes,Good,Good,Good,gotten better,20-30 years,gotten better,5-10 years,NR,NR,Yes,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
865,1/12/18 13:07,1/12/18 13:07,IP Address,46,74286,FALSE,LingDemo,1/19/18 2:54,R_2xK1NYKS8YIvLTD,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,Yes,"Mental health / emotional disabilities,Would you like to be more specific?","Agnostic,Atheist",N,N,N,CogSci,"Cognitive science,	First language acquisition,	Pragmatics,Psychology of Language,Semantics",Cognitive,1,O,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,"Cognitive Science, Psychology,Other (please specify)",NA,Neuroscience,NA,,Neuroscience,Psych/CogSci,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
866,1/12/18 13:09,1/12/18 13:17,IP Address,100,17871,TRUE,ALL,3/11/18 15:27,R_1jlwV2Lg4dRkGku,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,Yes,Mental health / emotional disabilities,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,"Yes, in addition to other descriptors","Applied linguistics,Discourse analysis,	Language contact,Language variation,	Linguistic Anthropology,Philosophy of Language,	Pragmatics,Sociocultural linguistics,Sociolinguistics ",You don't,1,O,"Ethnographic methods, Qualitative methods",2,Y,O,Y,"Language/Area-specific department (click to receive more options in next question),Anthropology",NA,NA,South Asian languages/studies,South Asian,Q,Language,N,South Asian languages/studies,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,Yes,"	Lecturer (permanent position)",I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,No,Not sure,"		No",NR,Yes,Fair,Fair,Fair,I don't know/can't say,NA,gotten better,< 5 years,NR,NR,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
867,1/12/18 13:14,1/12/18 13:22,IP Address,100,1433,TRUE,ALL,1/3/18 18:09,R_25uw4Xh7IFZBM1s,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Latinx,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Neurolinguistics,Psychology of Language,Second language acquisition",Cognitive,1,O,Experimental methods,1,N,E,N,Cognitive Science,NA,NA,NA,,Cognitive Science,Psych/CogSci,N,,Australia,Other,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,"Age	,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers",NA,Yes,No,No,"		No","		No",NR,Yes,Good,Good,Good,I don't know/can't say,NA,gotten better,< 5 years,gotten better,< 5 years,No,No,"	No",Married,"North America, including the Caribbean ",Australia
868,1/12/18 13:22,1/12/18 13:22,IP Address,14,150,FALSE,Demo,1/20/18 11:51,R_1nQ5ovO5fu2iqtE,anonymous,EN,Female,Gay/Lesbian,N,Monosexual-gay/lesbian,White,,White,No,N/A,"Agnostic,Atheist",N,N,N,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
869,1/12/18 13:31,1/12/18 13:34,IP Address,100,1336,TRUE,ALL,3/4/18 13:26,R_3J2ukoFNrIFcMde,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,NR,Yes,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Historical linguistics,Interpreting or Translation,	Language contact,Phonetics,Phonology",Usage-based,1,O,"Corpus methods,Experimental methods",2,N,B,N,Language/Area-specific department (click to receive more options in next question),NA,NA,Other (please specify),Other,Q,Language,N,Other (please specify),"North America, including the Caribbean",North America,Yes,No,"	Ph.D","	10 - 20 years ago",Yes,Full professor,I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,No,Yes,Constantly,Often,Sometimes,Often,Rarely,Never,"		Ethnic groups,		Gender,		Nationality	,		Other language groups,Particular subfields/other academics	,		Skin color",NA,Yes,No,No,"Yes, I have been intentionally excluded ",Not sure,"Social events in your department,Academic events in your department (colloquium talks, etc),		Conference/workshop dinner,		Other social events at a conference/workshop,		Committee membership,		Informal meetings,		Formal meetings",Yes,Very bad,Bad,Bad,gotten worse,5-10 years,gotten worse,5-10 years,gotten worse,5-10 years,Yes,No,Yes,"	Single","	Europe","North America, including the Caribbean "
870,1/12/18 13:57,1/12/18 14:06,IP Address,100,1678,TRUE,ALL,1/12/18 7:52,R_2ScBwpF8x50py6R,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Protestant,Y,N,Y,"Yes, in addition to other descriptors","Computational linguistics,	Pragmatics,Semantics,You don't. I work in (please specify)",Formal,1,O,"Community-engaged research,Computational methods,Experimental methods, Field methods",4,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,"		(Dis)ability status,		Ethnic groups,		Gender,		Nationality	,		Nonnative English speakers,Race",NA,Yes,No,No,"		Yes, I have been excluded (perhaps intentionally)","		No","		Joining a lab/research group,		Other social events at a conference/workshop,		Informal meetings",No,Fair,Bad,Good,I don't know/can't say,< 5 years,gotten worse,5-10 years,stayed the same,< 5 years,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
871,1/12/18 14:03,1/12/18 19:48,IP Address,100,665,TRUE,ALL,1/17/18 23:24,R_1l4wrJETaEJmICP,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Cognitive science,	First language acquisition,	Morphology,Neurolinguistics,Phonology,Psychology of Language,Second language acquisition,Typology","Formal,Generative",2,G,Experimental methods,1,N,E,N,Psychology,NA,NA,NA,,Psychology,Psych/CogSci,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	5 - 10 years ago",Yes,Assistant professor (tenure-track),I currently work in a lab-based research group,I have never done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color,Other (please specify)",prestige of university,Yes,Not sure,It is ongoing,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Starting a collaboration		,Social events in your department,Academic events in your department (colloquium talks, etc),		Starting a research project,Conference/workshop presentation,		Conference/workshop dinner,		Other social events at a conference/workshop,		Professional organization,		Informal meetings,		Formal meetings",Yes,Fair,Fair,Bad,gotten better,< 5 years,stayed the same,NA,gotten worse,< 5 years,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
872,1/12/18 14:58,1/12/18 15:15,IP Address,100,8518,TRUE,ALL,1/4/18 2:36,R_3ER0TN5yFHB3ax5,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"I used to, but not anymore","Cognitive science,Computational linguistics,Corpus linguistics,Psychology of Language,Semantics","Cognitive ,Structuralist,Usage-based",3,O,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,"Linguistics, Psychology",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,"	Tech industry",I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Nonnative English speakers,Particular subfields/other academics	",NA,Yes,Not sure,Yes,Not sure,Not sure,Conference/workshop presentation,Yes,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
873,1/12/18 14:59,1/12/18 15:05,IP Address,100,1032,TRUE,ALL,1/7/18 4:49,R_2wEIa6lQTO8d3JA,anonymous,EN,Female,Pansexual,N,Multisexual+Queer,White,,White,Yes,"Mental health / emotional disabilities,Would you like to be more specific?",Atheist,N,N,N,"Sociolinguist, LingAnthro","Applied linguistics,Corpus linguistics,Discourse analysis,	Linguistic Anthropology,Sociolinguistics ",You don't,1,O,"Community-engaged research, Corpus methods,Ethnographic methods, Qualitative methods",4,Y,C,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Africa,Other,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,You don't. My position is (please specify),I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,"Age	,		Gender,Particular subfields/other academics	",NA,Yes,No,No,Not sure,Not sure,"		Starting a collaboration		,Social events in your department,	Other academic activities at a conference/workshop ,		Conference/workshop dinner",Yes,Fair,Very good,Very good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,Yes,Yes,"	No",Domestic partner/Long-term relationship,Africa,Africa
874,1/12/18 15:25,1/12/18 15:26,IP Address,100,502,TRUE,ALL,1/7/18 14:21,R_2dNgHmmzHPnD6R3,anonymous,EN,Female,Asexual,N,Asexual-Umbrella,White,,White,No,N/A,"Agnostic,Atheist",N,N,N,"I used to, but not anymore","Interpreting or Translation,Psychology of Language,Sociolinguistics ,Syntax,Typology,Writing systems",Cognitive,1,O,Qualitative methods,1,Y,O,N,Linguistics,NA,NA,NA,,Modern Languages,Language,N,,"North America, including the Caribbean",North America,No,No,B.A. / B.S.,"	5 - 10 years ago",No,You don't. My position is (please specify),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Never,Never,Never,Rarely,Never,"		Nonnative English speakers,		Other language groups",NA,No,,No,"		No","		No",NR,Yes,Good,Good,NR,I don't know/can't say,5-10 years,gotten better,< 5 years,NR,NR,No,No,NA,"	Single","North America, including the Caribbean ","North America, including the Caribbean "
875,1/12/18 15:29,1/12/18 19:13,IP Address,100,2490,TRUE,ALL,1/7/18 0:42,R_1FhM4lVcrfIF709,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive-functional linguistics,Discourse analysis,	Pragmatics,Semantics,Sociolinguistics ","Cognitive ,Usage-based",2,O,Qualitative methods,1,Y,O,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Australia,Other,No,No,"	Ph.D",Within the past 5 years,No,You don't. My position is (please specify),I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"Particular subfields/other academics	,Other (please specify)",Allergies,Yes,No,It is ongoing,"		Yes (other)","		Yes (other)","Conference/workshop presentation,	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Other social events at a conference/workshop,		Informal meetings",Yes,Good,Good,Good,stayed the same,5-10 years,NR,NR,NR,NR,No,No,NA,"	Single",Australia,Australia
876,1/12/18 15:50,1/12/18 16:01,IP Address,100,6894,TRUE,ALL,1/6/18 10:29,R_ZfSMdFWFEq4ZPsR,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Agnostic,Catholic",Y,N,N,"Yes, solely","Documentary and descriptive linguistics,Historical linguistics,	Language contact,Language variation,	Morphosyntax,Philosophy of Language,Syntax,Typology","Formal,Generative",2,G,"Experimental methods, Qualitative methods",2,Y,E,N,Other (please specify),NA,English,NA,,NR,NR,NR,,Europe,Europe,No,No,"	Ph.D","	10 - 20 years ago",Yes,"	Associate professor (tenured)",I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Never,Rarely,Rarely,Never,"		Gender,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	",NA,Yes,No,No,"		No","		No",NR,No,Good,Fair,NR,gotten better,NA,NR,NR,NR,NR,Yes,No,Yes,Married,"	Europe","	Europe"
877,1/12/18 15:55,1/12/18 16:11,IP Address,100,451,TRUE,ALL,1/4/18 12:18,R_9zwqEXs1FhEGQbn,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,No,"Cognitive science,Psychology of Language","Cognitive ,Generative",2,G,"Computational methods,Experimental methods",2,N,E,N,"Cognitive Science, Psychology",NA,NA,NA,,Psychology,Psych/CogSci,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",NR,Yes,Full professor,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,"		Gender",NA,Yes,Not sure,It is ongoing,"		No","		No",Social events in your department,No,Very good,Good,Good,gotten better,< 5 years,gotten better,< 5 years,gotten better,< 5 years,No,No,NA,Married,"North America, including the Caribbean ","North America, including the Caribbean "
878,1/12/18 16:07,1/12/18 16:07,IP Address,20,1130,FALSE,ALL,3/15/18 15:27,R_1eyjNxNa53zUo2Y,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Indigenous,No,N/A,"Jewish,You don't",Y,N,Y,Documentation,"Documentary and descriptive linguistics,Historical linguistics,	Language contact,	Linguistic Anthropology,Phonology,Sociocultural linguistics,Writing systems",You don't,1,O,"Ethnographic methods, Field methods",2,N,O,Y,Anthropology,NA,NA,NA,,Anthropology,Anthropology,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	20 - 30 years ago",Yes,"	Lecturer (permanent position)",I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",Yes,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,"Age	,		Ethnic groups,		Gender,Race,Other (please specify)",this is silly...we've all seen all of such discrimination over our lifetimes,Yes,Not sure,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
